Época 150: d_loss = 0.3134, g_loss = 0.2291
Época 151: d_loss = 0.3173, g_loss = 0.2162
Época 152: d_loss = 0.3072, g_loss = 0.2125
Época 153: d_loss = 0.3381, g_loss = 0.2194
Época 154: d_loss = 0.3186, g_loss = 0.2089
Época 155: d_loss = 0.2901, g_loss = 0.2136
Época 156: d_loss = 0.3054, g_loss = 0.2181
Época 157: d_loss = 0.2962, g_loss = 0.2351
Época 158: d_loss = 0.3025, g_loss = 0.2189
Época 159: d_loss = 0.3086, g_loss = 0.2227
Época 160: d_loss = 0.2988, g_loss = 0.2314
Época 161: d_loss = 0.3051, g_loss = 0.2221
Época 162: d_loss = 0.3027, g_loss = 0.2255
Época 163: d_loss = 0.3318, g_loss = 0.2358
Época 164: d_loss = 0.3038, g_loss = 0.2165
Época 165: d_loss = 0.3024, g_loss = 0.2254
Época 166: d_loss = 0.2994, g_loss = 0.2342
Época 167: d_loss = 0.3136, g_loss = 0.2269
Época 168: d_loss = 0.3122, g_loss = 0.2052
Época 169: d_loss = 0.3163, g_loss = 0.2255
Época 170: d_loss = 0.3002, g_loss = 0.2316
Época 171: d_loss = 0.3380, g_loss = 0.2058
Época 172: d_loss = 0.2912, g_loss = 0.2425
Época 173: d_loss = 0.3142, g_loss = 0.2116
Época 174: d_loss = 0.3023, g_loss = 0.2192
Época 175: d_loss = 0.2984, g_loss = 0.2193
Época 176: d_loss = 0.3167, g_loss = 0.2191
Época 177: d_loss = 0.3129, g_loss = 0.2330
Época 178: d_loss = 0.3058, g_loss = 0.2271
Época 179: d_loss = 0.3053, g_loss = 0.2257
Época 180: d_loss = 0.2882, g_loss = 0.2220
Época 181: d_loss = 0.2936, g_loss = 0.2160
Época 182: d_loss = 0.3161, g_loss = 0.2175
Época 183: d_loss = 0.3117, g_loss = 0.2158
Época 184: d_loss = 0.3046, g_loss = 0.2277
Época 185: d_loss = 0.3053, g_loss = 0.2343
Época 186: d_loss = 0.3053, g_loss = 0.2217
Época 187: d_loss = 0.3157, g_loss = 0.2308
Época 188: d_loss = 0.3006, g_loss = 0.2312
Época 189: d_loss = 0.3364, g_loss = 0.2141
Época 190: d_loss = 0.3212, g_loss = 0.2310
Época 191: d_loss = 0.2998, g_loss = 0.2235
Época 192: d_loss = 0.3007, g_loss = 0.2280
Época 193: d_loss = 0.2930, g_loss = 0.2325
